,cust_number,name_customer,invoice_id,total_open_amount,due_in_date,clear_date
37180,0200763814,SYSCO F us,1930579043.0,23527.3,2020-03-13,2020-03-16
37152,0200657619,SOTO trust,1930581346.0,10855.68,2020-03-30,2020-04-03
16048,0200705742,DOT us,1930575800.0,1049.89,2020-03-18,2020-03-20
12641,0200729290,KROGER llc,1930577433.0,2646.76,2020-03-13,2020-03-17
35799,0200795490,HY -  corp,1930578017.0,57317.9,2020-03-13,2020-03-16
33093,0200253680,SCHWANS systems,1930577594.0,55075.68,2020-03-13,2020-03-16
33848,0200148860,DOLLA ,1930576479.0,112153.36,2020-03-13,2020-03-14
4373,0200792734,MDV/ corp,1930580303.0,40347.69,2020-03-13,2020-03-16
13302,0200780825,SYSCO FO ,1930554619.0,3418.18,2020-03-13,2020-03-17
44776,0200794332,COST in,1930577343.0,32715.47,2020-03-13,2020-03-16
3311,0200769623,WAL-MAR corp,1930576031.0,1329.23,2020-03-13,2020-03-15
21853,0200752302,KROGER corp,1930567126.0,6152.79,2020-03-13,2020-03-17
34499,0200712102,SUGAR  llc,1930572469.0,21000.72,2020-04-27,2020-04-30
43590,0200434439,BAUGH SU ,1930578956.0,61259.28,2020-03-13,2020-03-14
23813,0200705742,DOT corp,1930578984.0,23274.9,2020-03-30,2020-04-02
19558,0200759878,SA us,1930573749.0,4255.2,2020-05-02,2020-05-06
24723,0200966902,BALLES corporation,1990571528.0,63920.62,2020-03-28,2020-03-29
13180,0200749225,SUPER  associates,1930573549.0,44436.71,2020-03-13,2020-03-16
4520,0100031704,DELHAIZE ,1930567534.0,44394.37,2020-03-13,2020-03-16
24526,0200739006,AL systems,1930575223.0,21300.0,2020-03-13,2020-03-16
34906,0200761734,H E BUT llc,1930576056.0,77709.83,2020-03-13,2020-03-15
30699,0200778870,C us,1930581424.0,18481.49,2020-03-13,2020-03-16
498,0200418007,AM trust,1930571752.0,99490.67,2020-03-13,2020-03-14
44163,0200747369,SCHNU ,1930580941.0,58421.16,2020-03-13,2020-03-14
4538,0200744019,TARG co,1930570195.0,46740.7,2020-03-13,2020-03-16
44459,0200769623,WAL-MAR in,1930571215.0,17607.03,2020-03-13,2020-03-16
20273,0100034821,17135 in,2960613755.0,2892.28,2020-03-09,2020-04-28
13124,0200782669,SYGMA us,1930560957.0,1956.4,2020-03-18,2020-03-20
49510,CCCA02,KRAFT  foundation,1930576366.0,8016.0,2020-04-02,2020-04-06
30912,0100043921,NASS corporation,1930576706.0,6355.8,2020-03-13,2020-03-17
31513,0200148860,DOLLA ,1930555879.0,6956.14,2020-03-13,2020-03-17
45202,0200772595,SAFEW trust,1930576722.0,62417.94,2020-03-13,2020-03-15
30741,0200769623,WAL-MAR corp,1930568689.0,14424.75,2020-03-13,2020-03-16
24026,0200749782,KROG corp,1930571479.0,72836.94,2020-03-13,2020-03-15
33158,0200974851,RESTA us,1930578912.0,498.08,2020-03-18,2020-03-20
33891,CC6600,KRAFT  llc,1991839932.0,19135.12,2020-04-12,2020-04-14
31528,0200799367,MCL associates,1930567477.0,14034.39,2020-03-13,2020-03-16
45069,0200778355,US  us,1930572493.0,3561.9,2020-03-13,2020-03-17
335,0140105847,GORDON F llc,2960617054.0,834.0,2020-03-09,2020-05-04
19753,0140104240,FEDER associates,2960616693.0,3105.34,2020-03-10,2020-04-29
5991,0200794332,COST corp,1930560617.0,21725.11,2020-03-13,2020-03-16
39499,0200707005,KING S in,1930559988.0,55159.01,2020-03-13,2020-03-16
20494,0140104440,SO associates,2960616882.0,58092.26,2020-03-12,2020-04-17
14807,0200806580,BE systems,1930576285.0,4827.34,2020-03-13,2020-03-17
20424,200481695,FAR W corp,1930576608.0,34657.38,2020-03-28,2020-03-31
6449,0200794332,COST co,1930567023.0,8793.09,2020-03-13,2020-03-17
21969,0200759878,SA us,1930571716.0,7446.6,2020-05-02,2020-05-06
7252,0200769623,WAL-MAR corp,1930571518.0,18150.73,2020-03-13,2020-03-16
23745,0200726979,BJ'S  ,1930570467.0,228.98,2020-03-13,2020-03-24
39437,0200223640,US FOO llc,1930561395.0,14740.18,2020-03-18,2020-03-21
6306,0200657619,SOTO corporation,1930580395.0,47632.43,2020-03-13,2020-03-16
13063,0200706844,WINC systems,1930567334.0,45715.68,2020-03-13,2020-03-16
46523,0200748108,KROGER co,1930580718.0,119226.6,2020-03-13,2020-03-18
44107,0200794332,COST us,1930570094.0,63609.49,2020-03-13,2020-03-15
14725,0200769369,DI foundation,1930568886.0,14189.05,2020-03-13,2020-03-16
33794,0200707741,SMART &  llc,1930576137.0,134427.21,2020-03-13,2020-03-18
3172,0200759878,SA foundation,1930570685.0,4935.23,2020-03-13,2020-03-17
46656,0200726979,BJ'S  us,1930570469.0,574.67,2020-03-13,2020-03-15
31778,0140104423,METRO  ,2960617062.0,54760.42,2020-03-08,2020-04-15
43744,0200737918,W LEE  in,1930566677.0,52484.76,2020-03-13,2020-03-16
14348,0200793830,M us,1930580467.0,6842.51,2020-05-02,2020-05-06
43402,0200704045,RA associates,1930580668.0,75789.49,2020-03-13,2020-03-15
27943,0200769623,WAL-MAR foundation,1930570967.0,15277.01,2020-03-13,2020-03-16
38326,0200726979,BJ'S  in,1930577348.0,519.34,2020-03-13,2020-03-15
8017,0200434439,BAUGH SU corp,1930577206.0,90684.31,2020-03-18,2020-03-19
43339,0200769623,WAL-MAR us,1930575905.0,979.61,2020-03-13,2020-03-15
14369,0140104409,LOB systems,2960616928.0,102460.27,2020-03-08,2020-04-16
28523,0200705742,DOT associates,1930570150.0,889.84,2020-03-13,2020-03-15
25197,0200705742,DOT co,1930576233.0,84757.81,2020-04-01,2020-04-02
31208,0200769623,WAL-MAR us,1930577108.0,44943.87,2020-03-13,2020-03-16
20731,0200769623,WAL-MAR us,1930566841.0,16892.0,2020-03-13,2020-03-16
34248,0200936373,SUPE llc,1930570140.0,25376.88,2020-03-13,2020-03-16
15826,CCCA02,KRAFT  associates,1930576017.0,29376.0,2020-04-03,2020-04-06
21020,0200769623,WAL-MAR ,1930582588.0,16921.67,2020-03-14,2020-03-17
34521,0200783734,FAREW systems,1930582672.0,19698.2,2020-03-14,2020-03-17
20026,0200126819,MCLANE foundation,1930581534.0,19648.08,2020-03-14,2020-03-17
22381,0200229974,DARDEN D associates,1930582121.0,16030.75,2020-03-14,2020-03-17
34605,0200704858,WAKE associates,1930576589.0,18367.81,2020-03-14,2020-03-17
43966,0200705742,DOT llc,1930582984.0,18724.89,2020-04-02,2020-04-05
10140,0200744019,TARG in,1930578663.0,129392.92,2020-03-14,2020-03-19
20012,0200700919,US  us,1930581301.0,52158.05,2020-03-14,2020-03-17
47872,0200795490,HY -  systems,1930581648.0,31073.68,2020-05-03,2020-05-06
14924,0140105847,GORDON F llc,2960616066.0,11525.9,2020-03-09,2020-04-22
2774,0140104440,SO us,2960613779.0,15914.45,2020-03-13,2020-04-26
23126,0200712102,SUGAR  associates,1930581552.0,85211.28,2020-04-28,2020-04-29
44493,0200726979,BJ'S  corp,1930580335.0,563.38,2020-03-14,2020-03-16
20656,0200418007,AM corp,1930566198.0,6404.71,2020-03-14,2020-03-18
1040,0200769623,WAL-MAR corporation,1930566494.0,14890.62,2020-03-14,2020-03-17
22608,0200769623,WAL-MAR ,1930580712.0,4453.78,2020-03-14,2020-03-18
48524,0140104409,LOB corp,2960617747.0,66314.06,2020-03-09,2020-04-14
21749,0200762301,C&S WH systems,1930581757.0,65168.74,2020-03-14,2020-03-16
42868,0200705742,DOT co,1930582488.0,24353.03,2020-04-02,2020-04-05
48077,0200759878,SA systems,1930571240.0,34841.49,2020-03-14,2020-03-17
29889,0200708411,SHAM corp,1930581129.0,70678.18,2020-03-19,2020-03-21
22612,0200759878,SA us,1930565298.0,29451.59,2020-03-14,2020-03-17
2437,0200229974,DARDEN D ,1930576082.0,15335.62,2020-03-14,2020-03-17
13924,0200794332,COST in,1930571903.0,42681.97,2020-03-14,2020-03-17
20774,0140104423,METRO  associates,2960617427.0,118571.07,2020-03-12,2020-04-20
34475,0200799342,MITCH systems,1930581676.0,58887.61,2020-03-14,2020-03-15
136,0200424504,M  systems,1930573741.0,5223.95,2020-03-15,2020-03-19
20933,0200769623,WAL-MAR trust,1930576595.0,20148.51,2020-03-14,2020-03-17
33936,0200769623,WAL-MAR systems,1930582042.0,31424.88,2020-03-14,2020-03-17
24313,0200726979,BJ'S  ,1930580662.0,507.28,2020-03-14,2020-03-16
34469,0200772595,SAFEW ,1930559437.0,83388.26,2020-03-14,2020-03-15
41902,0200980828,BEN E us,1930577195.0,50954.67,2020-03-19,2020-03-22
24323,0200763229,MAINES ,1930577328.0,27570.06,2020-03-14,2020-03-17
5697,0200096390,D systems,1930554662.0,16641.81,2020-03-14,2020-03-17
20897,0200769623,WAL-MAR trust,1930578944.0,15803.81,2020-03-14,2020-03-17
24334,0200778870,C in,1930575586.0,10055.9,2020-03-14,2020-03-18
40604,0200769623,WAL-MAR in,1930577112.0,15319.88,2020-03-14,2020-03-17
18327,0200769623,WAL-MAR us,1930577186.0,7902.77,2020-03-14,2020-03-18
38629,0200722444,PERFOR trust,1930580463.0,39243.22,2020-03-14,2020-03-17
47314,0200769623,WAL-MAR ,1930577859.0,11180.93,2020-03-14,2020-03-18
37825,0200793513,KROGER trust,1930578674.0,3431.6,2020-03-14,2020-03-18
12172,0200756072,REINHA ,1930575402.0,712.5,2020-03-14,2020-03-16
5433,0200704045,RA systems,1930583666.0,34115.3,2020-03-14,2020-03-17
48010,0200769623,WAL-MAR systems,1930576058.0,32211.41,2020-03-14,2020-03-17
9466,0200769623,WAL-MAR in,1930577724.0,52949.85,2020-03-14,2020-03-17
30936,0200729290,KROGER us,1930577998.0,88891.5,2020-03-14,2020-03-15
28649,0200759878,SA us,1930576791.0,12605.99,2020-05-03,2020-05-07
15771,0200794332,COST corporation,1930576176.0,6883.72,2020-05-03,2020-05-07
9355,0200726979,BJ'S  corp,1930582051.0,417.26,2020-03-14,2020-03-17
18584,0200936373,SUPE in,1930576533.0,109693.18,2020-03-14,2020-03-15
49955,0200769623,WAL-MAR us,1930581450.0,31048.94,2020-03-14,2020-03-17
42756,0200783734,FAREW systems,1930582672.0,19698.2,2020-03-14,2020-03-17
35866,0200762301,C&S WH corporation,1930580640.0,767.69,2020-05-03,2020-05-05
31965,0200769623,WAL-MAR corporation,1930578941.0,549.52,2020-03-14,2020-03-16
44556,0200738514,KTA  trust,1930542253.0,4370.41,2020-05-03,2020-05-07
32537,0200769623,WAL-MAR ,1930581917.0,60113.59,2020-03-14,2020-03-15
48475,0200739534,OK corporation,1930583245.0,50123.59,2020-03-14,2020-03-17
14364,0200779906,BOZZU us,1930576393.0,72195.88,2020-03-14,2020-03-16
33246,0200561861,CO foundation,1930564685.0,37193.22,2020-03-14,2020-03-17
26186,0200769623,WAL-MAR us,1930580763.0,45568.78,2020-03-14,2020-03-17
858,0200769623,WAL-MAR corporation,1930575255.0,1898.2,2020-03-14,2020-03-16
27297,0200769623,WAL-MAR corp,1930579979.0,48668.85,2020-03-14,2020-03-17
12578,0200707822,PUBLI trust,1930570386.0,81940.75,2020-03-14,2020-03-16
6223,0200778355,US  ,1930583344.0,11182.05,2020-03-31,2020-04-04
38125,0200704045,RA systems,1930583666.0,34115.3,2020-03-14,2020-03-17
31762,0200769623,WAL-MAR ,1930578675.0,19702.79,2020-03-14,2020-03-17
14897,0200775094,SAVE M systems,1930580541.0,5081.15,2020-03-14,2020-03-18
48454,0200761734,H E BUT trust,1930582431.0,76153.0,2020-03-14,2020-03-16
12555,0200769623,WAL-MAR systems,1930582190.0,36243.27,2020-03-14,2020-03-17
18466,0200793000,US  corp,1930580747.0,46300.43,2020-03-14,2020-03-17
22293,0200726979,BJ'S  systems,1930577587.0,298.58,2020-03-14,2020-03-26
3923,0140106408,WAL-M associates,2960617607.0,13772.64,2020-03-10,2020-04-23
24244,0200705372,FR co,1930576912.0,855.38,2020-05-03,2020-05-05
17036,0200769623,WAL-MAR corporation,1930582041.0,1401.44,2020-03-14,2020-03-16
7588,0200705372,FR associates,1930576909.0,48022.98,2020-03-14,2020-03-17
13466,0200769623,WAL-MAR corp,1930573531.0,45830.4,2020-03-14,2020-03-17
12781,0100049850,ROADTOWN corporation,1991839920.0,12992.85,2020-04-28,2020-04-30
11456,0200732755,KROGER in,1930580299.0,14780.25,2020-03-14,2020-03-17
38283,0200792293,UNIFIE corporation,1930582123.0,24173.92,2020-03-14,2020-03-17
49763,CCCA02,KRAFT  associates,1930576017.0,29376.0,2020-04-03,2020-04-06
3220,0200743123,KROGER corporation,1930577689.0,2646.76,2020-03-14,2020-03-18
8340,0200794332,COST foundation,1930577262.0,43652.3,2020-03-14,2020-03-17
16088,0200769623,WAL-MAR co,1930581037.0,17572.0,2020-03-14,2020-03-17
32691,0200980828,BEN E co,1930575532.0,82522.45,2020-03-31,2020-03-31
46640,0200759878,SA associates,1930581169.0,16042.79,2020-03-14,2020-03-17
1300,0200794332,COST trust,1930576178.0,3431.73,2020-05-03,2020-05-07
21993,0140104423,METRO  associates,2960617427.0,118571.07,2020-03-12,2020-04-20
41225,CCCA02,KRAFT  llc,1930575779.0,16497.0,2020-04-03,2020-04-06
16588,0200704045,RA in,1930581954.0,91146.89,2020-03-14,2020-03-15
49852,0200705742,DOT trust,1930582983.0,3151.27,2020-03-14,2020-03-18
28964,0200769623,WAL-MAR corp,1930580756.0,17112.27,2020-03-14,2020-03-17
12250,0200769623,WAL-MAR llc,1930580751.0,11053.19,2020-03-14,2020-03-18
40147,0200772670,ASSOCIAT in,1930581622.0,104880.99,2020-03-14,2020-03-15
46783,0200726979,BJ'S  trust,1930580853.0,490.0,2020-03-14,2020-03-16
46784,0200769623,WAL-MAR co,1930571068.0,15354.78,2020-03-14,2020-03-17
28336,0200726979,BJ'S  co,1930580393.0,16378.76,2020-03-14,2020-03-17
48838,0200744019,TARG in,1930578663.0,129392.92,2020-03-14,2020-03-19
5541,0200748108,KROGER llc,1930583142.0,187230.73,2020-03-14,2020-03-19
16470,0200706844,WINC llc,1930577843.0,57289.97,2020-03-14,2020-03-17
2480,0200772595,SAFEW llc,1930576534.0,11117.28,2020-03-14,2020-03-18
27508,0200704045,RA co,1930583147.0,6753.6,2020-03-14,2020-03-18
11694,0200792293,UNIFIE corporation,1930582123.0,24173.92,2020-03-14,2020-03-17
30601,0200759878,SA ,1930581136.0,52464.61,2020-03-14,2020-03-17
42353,CCCA02,KRAFT  systems,1930571424.0,11625.12,2020-04-03,2020-04-07
35995,0200704858,WAKE us,1930580305.0,20146.67,2020-03-14,2020-03-17
22042,CCU013,KRAFT F foundation,1930561254.0,11958.61,2020-02-28,2020-03-03
32301,0200769623,WAL-MAR in,1930567555.0,17669.49,2020-03-14,2020-03-17
3143,0200705742,DOT systems,1930582403.0,43061.99,2020-03-14,2020-03-17
42292,0200726979,BJ'S  trust,1930580853.0,490.0,2020-03-14,2020-03-16
1482,0200724999,GILSTE corp,1930581046.0,45298.8,2020-03-09,2020-03-12
3670,0140104423,METRO  systems,2960617188.0,54666.14,2020-03-12,2020-04-19
8432,0200943275,US  associates,1930555860.0,1072.5,2020-03-19,2020-03-21
45548,0200764795,SYSCO  associates,1930560773.0,8146.62,2020-03-14,2020-03-18
37338,0140104409,LOB corp,2960617747.0,66314.06,2020-03-09,2020-04-14
13506,0200769623,WAL-MAR ,1930581915.0,41045.26,2020-03-14,2020-03-17
14465,0200704858,WAKE us,1930580309.0,26641.87,2020-03-14,2020-03-17
11494,0200794332,COST corp,1930566539.0,3859.64,2020-03-14,2020-03-18
19531,CCU002,KRFT FDS us,1930576364.0,10584.96,2020-04-03,2020-04-07
44045,0200732755,KROGER llc,1930580296.0,13551.47,2020-03-14,2020-03-17
29307,CCU001,KRAFT  in,2960617436.0,78000.0,2020-04-05,2020-05-18
31742,0200769623,WAL-MAR systems,1930576623.0,35664.25,2020-03-14,2020-03-17
27459,0200769623,WAL-MAR llc,1930576197.0,42130.92,2020-03-14,2020-03-17
22340,0200769623,WAL-MAR us,1930571071.0,2352.97,2020-03-14,2020-03-26
35910,0200794332,COST corporation,1930570657.0,16108.84,2020-03-14,2020-03-17
1767,0200707822,PUBLI llc,1930575798.0,23202.29,2020-03-14,2020-03-17
38997,0200769623,WAL-MAR associates,1930578125.0,30471.99,2020-03-14,2020-03-17
4378,CCCA02,KRAFT  corporation,1930579090.0,14509.06,2020-04-03,2020-04-06
4384,0200668077,IN-N- corp,1930562072.0,26582.4,2020-03-09,2020-03-12
46098,0200748335,FO associates,1930570928.0,420.03,2020-03-14,2020-03-17
21292,0200729290,KROGER ,1930577245.0,17164.1,2020-03-14,2020-03-17
47140,0200759878,SA ,1930576860.0,15560.74,2020-05-03,2020-05-06
34335,0200772670,ASSOCIAT foundation,1930581595.0,40884.37,2020-03-14,2020-03-17
21228,0200769623,WAL-MAR ,1930577863.0,5.68,2020-03-14,2020-04-04
21154,0200608118,DIS corporation,1930582667.0,11881.59,2020-03-14,2020-03-18
3407,0100001196,DOLLAR trust,1930581009.0,36981.82,2020-03-14,2020-03-17
38017,0200769623,WAL-MAR corp,1930581277.0,57349.58,2020-03-14,2020-03-17
35480,0200920735,ALBERT systems,1930572028.0,79223.98,2020-03-14,2020-03-16
26506,0200780383,MEIJ llc,1930580888.0,686.92,2020-03-14,2020-03-16
23439,100024776,PEA corp,1930575519.0,7832.3,2020-04-03,2020-04-07
2516,0200978899,MBM/PF llc,1930580610.0,34744.32,2020-03-19,2020-03-22
17002,0200769623,WAL-MAR trust,1930577153.0,7486.95,2020-03-14,2020-03-18
15894,0140105686,SYSC corp,2960617206.0,11732.43,2020-03-16,2020-04-29
18851,0200891601,POWE ,1930581096.0,18275.0,2020-03-29,2020-04-01
24077,0200759878,SA systems,1930573832.0,32572.33,2020-03-14,2020-03-17
44976,0200794332,COST foundation,1930576175.0,404.58,2020-03-14,2020-03-17
1250,0200794332,COST in,1930572418.0,21404.39,2020-03-14,2020-03-17
11860,0140105785,SHOPPE in,2960616952.0,142501.34,2020-03-14,2020-04-25
8041,0200780383,MEIJ corporation,1930576493.0,22868.9,2020-03-14,2020-03-17
32069,0200700919,US  us,1930581301.0,52158.05,2020-03-14,2020-03-17
25870,0200561861,CO llc,1930567196.0,39044.03,2020-03-14,2020-03-17
33567,0200772670,ASSOCIAT foundation,1930580850.0,179103.73,2020-03-14,2020-03-19
6134,0200881076,ALBERT trust,1930581027.0,5622.85,2020-05-03,2020-05-07
8092,0200707822,PUBLI co,1930583232.0,75817.72,2020-03-14,2020-03-16
46426,0200759878,SA in,1930576442.0,13616.26,2020-03-14,2020-03-17
22125,CCU002,KRFT FDS corp,1930571168.0,53001.01,2020-04-03,2020-04-06
24071,0200769623,WAL-MAR in,1930567171.0,50449.61,2020-03-14,2020-03-17
39862,0140106316,ALI trust,2960616065.0,17370.49,2020-03-13,2020-04-26
28156,0200739006,AL corporation,1930571175.0,21300.0,2020-03-14,2020-03-17
12726,0200705742,DOT llc,1930581945.0,10026.46,2020-03-14,2020-03-18
35982,0200769623,WAL-MAR foundation,1930583137.0,6171.06,2020-03-15,2020-03-19
20293,0200759878,SA corp,1930584512.0,40233.82,2020-03-15,2020-03-18
30111,0200769623,WAL-MAR trust,1930576592.0,36285.37,2020-03-15,2020-03-18
31171,0200148860,DOLLA trust,1930576027.0,15428.16,2020-03-15,2020-03-18
13842,0140104409,LOB us,2960616971.0,115773.49,2020-03-13,2020-04-21
10304,CCU013,KRAFT F llc,1930584238.0,10044.0,2020-02-29,2020-03-04
15684,0200769623,WAL-MAR ,1930583757.0,27037.52,2020-03-15,2020-03-18
17994,0200704045,RA associates,1930584124.0,80481.56,2020-03-15,2020-03-17
48092,0200726979,BJ'S  co,1930584822.0,377.28,2020-03-15,2020-03-18
2168,0200769623,WAL-MAR trust,1930583756.0,1898.9,2020-03-15,2020-03-17
42516,0200707822,PUBLI associates,1930584487.0,71184.83,2020-03-15,2020-03-17
26022,0140101682,SUPERVAL foundation,1991839735.0,16389.32,2020-03-30,2020-04-01
6159,0200769623,WAL-MAR llc,1930582446.0,813.17,2020-03-15,2020-03-17
38560,0200769623,WAL-MAR co,1930582514.0,21552.85,2020-03-15,2020-03-18
31712,0200769623,WAL-MAR trust,1930584094.0,45814.85,2020-03-15,2020-03-18
17713,0200707822,PUBLI in,1930583739.0,19753.39,2020-03-15,2020-03-18
21895,0200769623,WAL-MAR co,1930580489.0,10671.32,2020-03-15,2020-03-19
20481,CCCA02,KRAFT  us,1930582241.0,16497.0,2020-04-04,2020-04-07
25871,0200744019,TARG corp,1930583720.0,55612.86,2020-03-15,2020-03-18
9653,0200772670,ASSOCIAT trust,1930584761.0,19570.6,2020-03-15,2020-03-18
42541,0200769623,WAL-MAR ,1930582325.0,3270.04,2020-03-15,2020-03-19
12313,0140104340,COLABOR  llc,2960614269.0,877.75,2020-03-12,2020-05-07
40486,0200769623,WAL-MAR us,1930584311.0,1084.23,2020-03-15,2020-03-17
33211,0200936373,SUPE foundation,1930571728.0,76487.55,2020-03-15,2020-03-17
34212,CCCA02,KRAFT  us,1930581766.0,16497.0,2020-04-04,2020-04-07
5564,0200769623,WAL-MAR co,1930582023.0,2440.09,2020-03-15,2020-03-27
